"LLAVE_BUSQUEDA"¬"TWEET"¬"USUARIO"¬"FECHA"¬"LUGAR"¬"COORDENADAS"¬"GEO"
"URIBE"¬"El sub presidente tonto del presidente eternamente corrupto y mafioso np les intetesa la paz   .....la guerra les d¬ https://t.co/x6on01DxWy"¬"ReneQuintanaG"¬12/06/19 02:30:06,922015000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Y esa informaci n como para que sirve deje de hablar tanta babosada y legisle para el pueblo y no e"¬"novawilliam15"¬12/06/19 03:25:53,452971000 PM¬""¬""¬""
"URIBE"¬"No soy uribista pero si sufre matese y ya descansa de ver dicho paraco"¬"mgalvezbe1022"¬12/06/19 03:25:56,671389000 PM¬""¬""¬""
"URIBE"¬"Estos obtusos creen que he votado por el uribismo Luego se preguntan por qu el pa s est como est"¬"El__Arracadas"¬12/06/19 03:25:56,896532000 PM¬""¬""¬""
"URIBE"¬"De acuerdo a Uribe le llegar la hora de pagar por toda su maldad"¬"JegaPaz"¬12/06/19 03:29:11,626401000 PM¬""¬""¬""
"URIBE"¬"Total"¬"AndreaH44410895"¬12/06/19 03:29:13,604896000 PM¬""¬""¬""
"URIBE"¬"@DCoronell @CorteSupremaJ @AlvaroUribeVel https://t.co/vhsVSD3grw"¬"moorejgm"¬12/06/19 02:10:03,658760000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel Ey ya callese. Vaya mejor responda por las masacres."¬"Ciro85446425"¬12/06/19 02:10:03,876024000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Excelente!!! Ya empezaron a delatar a uribe. @NoticiasUno@UniNoticias@noticiAmerica"¬"Barbin67645750"¬12/06/19 02:10:11,376189000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@todoalnatural Por favor no desinformen, el primero es Mateus Uribe de la selecci¬n y el segundo es un jab¬n lavaplatos"¬"armescob2012"¬12/06/19 02:30:10,868655000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Yo tambien los asesino nada de heridos ...Son mierda"¬"poncho03498192"¬12/06/19 02:30:11,794246000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@MauricioEchena @amargajllo @Dianasc47344743 @AlvaroUribeVel Real!"¬"TarquinoOrozco"¬12/06/19 02:30:20,854459000 PM¬"None"¬"None"¬"None"
"URIBE"¬"presente Su columna dominical lo dir si es pasivo y muy complaciente ante la situaci n del mal gobierno U"¬"robertfuentes3"¬12/06/19 03:25:56,919024000 PM¬""¬""¬""
"URIBE"¬"Pero si eligieron a uribe como presidente y luego senador y se indignan por que otro asesino es congresista"¬"Jorgeal40110169"¬12/06/19 03:25:57,140026000 PM¬""¬""¬""
"URIBE"¬"Gran pendejo porque ahora siente que puede declaran sin que lo maten destituyan o peor a n que le"¬"Jflorez4125"¬12/06/19 03:29:14,516734000 PM¬""¬""¬""
"URIBE"¬"A Miguel Uribe hay que elegirlo alcalde porque Los derechos de los ni o"¬"catrogats"¬12/06/19 03:29:19,096847000 PM¬""¬""¬""
"URIBE"¬"@AlvaroUribeVel Y a crecido m¬s la riqueza del CD"¬"560Eduard"¬12/06/19 01:54:30,691134000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Llevan sentados al lado de @AlvaroUribeVel a¬os y toda su para pol¬tica y ahora se van hacer los dignos de principi¬ https://t.co/a8iJEmXpKr"¬"CarrioniJhon"¬12/06/19 01:54:32,676348000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel Esto incluye cualquier ipS???"¬"ADRIANACARVAJA6"¬12/06/19 02:30:29,376432000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@MariaFdaCabal As¬ es senadora, y ni hablar de Uribe que es mil veces peor"¬"FsGuerraVet"¬12/06/19 02:45:54,282802000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@EdwBallesteros @nacarlu_16 @CeDemocratico @AlvaroUribeVel existe ¬paz?..oleoductos explotados, ecosistemas da¬ados¬ https://t.co/kBi7yC0ckS"¬"milloricoj"¬12/06/19 02:46:04,510322000 PM¬"None"¬"None"¬"None"
"URIBE"¬"esta se ora doble moral mas bien por que no hacen campa as escolares acerca de"¬"16Mecha"¬12/06/19 03:26:04,962980000 PM¬""¬""¬""
"URIBE"¬"Sus seguidores no entienden q es ser Heterosexual ahora que hptas van a entender esa mano de guebo"¬"Wilder0303"¬12/06/19 03:26:15,061034000 PM¬""¬""¬""
"URIBE"¬"Miguel Uribe la mejor opci n"¬"stella84675157"¬12/06/19 03:29:25,538876000 PM¬""¬""¬""
"URIBE"¬"Uribe es verdad que uno de sus hijos es gay"¬"01032Duarte"¬12/06/19 03:29:35,797699000 PM¬""¬""¬""
