"LLAVE_BUSQUEDA"¬"TWEET"¬"USUARIO"¬"FECHA"¬"LUGAR"¬"COORDENADAS"¬"GEO"
"PETRO"¬"@20Wilsongarcia @DanielSamperO Y si le das  !!Aaazucarr!! A lo Celia, a todos los agrios del Congreso.. ?com.. https://t.co/jl8s9gLNKz"¬"johnsajje"¬13/06/19 10:39:11,267056000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo @santitrujillo8 Y luego dice que no asesoro a Chavez en su nefasta dictadura y hasta usa los mimos terminos."¬"JEANPAULRUIZ"¬13/06/19 10:39:11,701463000 AM¬""¬""¬""
"PETRO"¬"@Orlandinho80 @johnjairobonill @AndresCamiloHR @petrogustavo Ni lo uno ni lo otro, andres debe estar muy ocupado pa.. https://t.co/6NAaMPUpqB"¬"Oscardarramirez"¬13/06/19 10:42:51,865271000 AM¬""¬""¬""
"PETRO"¬"@jefrygutierrez6 @juanes1030 Perro hijueputa resentido social petronero"¬"cabemax08"¬13/06/19 10:42:56,527479000 AM¬""¬""¬""
"PETRO"¬"A este paso Gustavo Petro (que no escribe ni ""Colombia"" bien) tambien va a resultar editor de Caro y Cuervo."¬"MissPandebonos"¬13/06/19 10:47:52,676733000 AM¬""¬""¬""
"PETRO"¬"@lpino10 @petrogustavo De esa misma fuma usted mire lo qe escribe"¬"Neber06251448"¬13/06/19 10:48:01,644404000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo La Bolsota Humana"¬"arango_jj"¬13/06/19 10:48:06,027670000 AM¬""¬""¬""
"PETRO"¬"PETRO LE RESPONDE A ALVARO PRADA https://t.co/j7GWJqup4s via @YouTube"¬"guarilaque"¬13/06/19 10:35:40,779518000 AM¬""¬""¬""
"PETRO"¬"@gurunosoy @mluciaramirez @petrogustavo Puede ir antes y despues."¬"JuanGratiniano"¬13/06/19 10:35:42,109567000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo @santitrujillo8 Que tengan presente los nombres para que no los vinculen a ninguna entidad excepto co.. https://t.co/BpCy9oK0fA"¬"vercingetorix54"¬13/06/19 10:39:16,524298000 AM¬""¬""¬""
